Date,Open,High,Low,Close,Adj Close,Volume
2023-06-08,58.040001,58.900002,57.549999,58.900002,58.900002,1032500
2023-06-09,58.779999,58.779999,57.410000,57.810001,57.810001,1021300
2023-06-12,58.000000,58.860001,57.220001,58.419998,58.419998,1103300
2023-06-13,58.709999,60.410000,58.689999,59.889999,59.889999,839900
2023-06-14,60.200001,60.610001,57.439999,57.990002,57.990002,1266500
2023-06-15,57.389999,59.380001,57.119999,59.349998,59.349998,985400
2023-06-16,58.930000,59.130001,58.099998,58.430000,58.430000,1613800
2023-06-20,57.779999,60.660000,57.779999,60.400002,60.400002,1097000
2023-06-21,60.180000,60.389999,58.830002,60.060001,60.060001,1467700
2023-06-22,59.919998,60.820000,59.270000,60.080002,60.080002,870700
2023-06-23,59.259998,60.970001,59.119999,60.590000,60.590000,1014800
2023-06-26,60.470001,62.330002,60.470001,61.570000,61.570000,929600
2023-06-27,62.169998,64.129997,61.880001,63.779999,63.779999,886000
2023-06-28,63.840000,64.690002,63.459999,64.400002,64.400002,990500
2023-06-29,64.400002,65.510002,64.110001,64.989998,64.989998,896600
2023-06-30,65.760002,66.199997,65.080002,65.559998,65.559998,611900
2023-07-03,65.680000,66.820000,64.919998,64.949997,64.949997,466100
2023-07-05,64.739998,65.620003,63.849998,64.440002,64.440002,668000
2023-07-06,63.560001,63.820000,61.759998,62.330002,62.330002,845300
2023-07-07,62.520000,63.209999,62.110001,62.180000,62.180000,508400
2023-07-10,62.049999,65.300003,61.849998,65.300003,65.300003,816200
2023-07-11,65.779999,68.779999,65.510002,68.349998,68.349998,1539600
2023-07-12,69.699997,71.139999,68.500000,70.739998,70.739998,1779500
2023-07-13,71.209999,71.459999,69.739998,70.510002,70.510002,763900
2023-07-14,70.440002,70.540001,69.400002,69.889999,69.889999,703800
2023-07-17,69.940002,70.839996,69.220001,70.699997,70.699997,830100
2023-07-18,71.209999,71.480003,68.790001,69.150002,69.150002,1485800
2023-07-19,69.400002,69.970001,68.190002,68.769997,68.769997,1067900
2023-07-20,68.889999,68.889999,66.269997,66.949997,66.949997,1346100
2023-07-21,67.180000,67.290001,65.949997,66.790001,66.790001,1023900
2023-07-24,66.989998,67.760002,65.809998,66.550003,66.550003,830100
2023-07-25,66.220001,67.870003,66.150002,67.459999,67.459999,748700
2023-07-26,67.129997,69.589996,67.120003,69.379997,69.379997,893600
2023-07-27,70.000000,70.500000,67.940002,68.029999,68.029999,713600
2023-07-28,68.900002,70.599998,68.690002,69.260002,69.260002,1111900
2023-07-31,69.589996,69.650002,68.349998,69.139999,69.139999,1470200
2023-08-01,74.000000,75.980003,71.019997,75.949997,75.949997,2780800
2023-08-02,75.029999,76.050003,73.300003,75.430000,75.430000,1402100
2023-08-03,75.080002,75.190002,71.400002,71.510002,71.510002,1176900
2023-08-04,72.139999,73.639999,71.690002,72.559998,72.559998,1080000
2023-08-07,72.500000,74.919998,72.290001,74.830002,74.830002,1203200
2023-08-08,74.160004,74.720001,73.290001,73.750000,73.750000,1199600
2023-08-09,73.919998,74.510002,72.379997,73.980003,73.980003,867800
2023-08-10,74.389999,76.029999,73.839996,74.500000,74.500000,806200
2023-08-11,74.260002,75.769997,74.150002,74.529999,74.529999,468600
2023-08-14,74.370003,75.300003,73.900002,75.000000,75.000000,628700
2023-08-15,74.669998,75.129997,73.730003,74.059998,74.059998,463400
2023-08-16,73.830002,74.220001,72.269997,72.430000,72.430000,650700
2023-08-17,72.559998,72.900002,68.019997,68.339996,68.339996,1372500
2023-08-18,67.830002,68.180000,67.080002,67.400002,67.400002,1408900
2023-08-21,67.410004,68.080002,66.540001,67.989998,67.989998,959600
2023-08-22,68.489998,68.870003,67.550003,68.430000,68.430000,966200
2023-08-23,68.949997,70.440002,68.650002,70.379997,70.379997,809100
2023-08-24,70.040001,71.099998,69.440002,69.459999,69.459999,633900
2023-08-25,69.739998,70.000000,67.029999,68.629997,68.629997,860700
2023-08-28,68.760002,69.260002,68.019997,68.660004,68.660004,844200
2023-08-29,68.419998,71.400002,67.900002,71.349998,71.349998,869000
2023-08-30,71.449997,71.980003,71.080002,71.290001,71.290001,604600
2023-08-31,71.290001,71.650002,70.779999,71.370003,71.370003,581000
2023-09-01,72.239998,73.040001,71.790001,72.750000,72.750000,569500
2023-09-05,71.690002,72.150002,69.220001,70.120003,70.120003,1135300
2023-09-06,70.050003,71.379997,69.510002,70.190002,70.190002,878700
2023-09-07,69.690002,70.000000,68.519997,69.029999,69.029999,918100
2023-09-08,69.599998,69.690002,67.010002,67.330002,67.330002,759100
2023-09-11,67.779999,68.940002,67.300003,68.660004,68.660004,854200
2023-09-12,68.110001,69.269997,67.809998,67.870003,67.870003,884300
2023-09-13,67.580002,68.120003,65.110001,65.750000,65.750000,1125000
2023-09-14,66.300003,67.019997,65.750000,66.900002,66.900002,724100
2023-09-15,66.239998,66.239998,64.129997,64.910004,64.910004,2218500
2023-09-18,65.000000,65.849998,64.559998,65.290001,65.290001,754700
2023-09-19,65.059998,65.589996,64.269997,65.480003,65.480003,755700
2023-09-20,65.730003,66.839996,64.540001,64.559998,64.559998,486400
2023-09-21,63.730000,64.050003,62.540001,63.209999,63.209999,1024200
2023-09-22,63.849998,64.389999,63.310001,63.959999,63.959999,849500
2023-09-25,63.580002,64.720001,63.580002,64.239998,64.239998,842600
2023-09-26,63.910000,64.790001,63.599998,63.599998,63.599998,795800
2023-09-27,64.209999,64.349998,61.240002,61.419998,61.419998,1974500
2023-09-28,61.450001,63.189999,61.000000,62.799999,62.799999,1524300
2023-09-29,63.490002,63.500000,61.330002,61.630001,61.630001,1370800
2023-10-02,61.189999,62.560001,60.700001,61.020000,61.020000,1173200
2023-10-03,60.869999,61.110001,57.869999,58.720001,58.720001,2161300
2023-10-04,59.250000,60.240002,57.820000,59.630001,59.630001,1228000
2023-10-05,59.430000,59.980000,57.919998,58.200001,58.200001,897700
2023-10-06,57.189999,59.520000,57.169998,58.619999,58.619999,1502500
2023-10-09,57.540001,58.139999,56.330002,57.869999,57.869999,1465800
2023-10-10,58.099998,60.259998,57.820000,59.080002,59.080002,865600
2023-10-11,59.209999,60.119999,58.570000,59.810001,59.810001,713300
2023-10-12,59.060001,59.369999,56.020000,56.990002,56.990002,1018600
2023-10-13,57.000000,57.520000,55.680000,56.860001,56.860001,835900
2023-10-16,57.590000,58.779999,56.959999,58.590000,58.590000,726300
2023-10-17,57.889999,59.250000,57.830002,57.919998,57.919998,911500
2023-10-18,57.119999,57.119999,55.779999,56.279999,56.279999,1341400
2023-10-19,55.959999,56.490002,54.529999,54.790001,54.790001,1130900
2023-10-20,54.799999,55.330002,53.590000,54.869999,54.869999,810500
2023-10-23,54.650002,56.490002,54.650002,55.619999,55.619999,809500
2023-10-24,56.450001,56.810001,55.810001,56.279999,56.279999,887500
2023-10-25,55.459999,55.790001,54.119999,54.430000,54.430000,807200
2023-10-26,55.000000,55.779999,54.090000,54.970001,54.970001,841900
2023-10-27,55.060001,55.340000,54.180000,54.279999,54.279999,1007900
2023-10-30,54.770000,55.950001,54.570000,55.299999,55.299999,1965100
2023-10-31,58.250000,59.500000,55.669998,56.209999,56.209999,3256500
2023-11-01,56.410000,59.119999,56.169998,58.400002,58.400002,1820500
2023-11-02,59.730000,62.230000,59.689999,61.869999,61.869999,1849700
2023-11-03,63.290001,64.610001,62.619999,62.709999,62.709999,1434200
2023-11-06,62.520000,62.700001,59.630001,60.169998,60.169998,1333500
2023-11-07,60.200001,61.860001,60.200001,61.160000,61.160000,702200
2023-11-08,60.950001,61.939999,60.889999,61.490002,61.490002,522500
2023-11-09,61.750000,61.750000,60.130001,60.369999,60.369999,586000
2023-11-10,60.830002,61.730000,59.860001,61.419998,61.419998,692400
2023-11-13,61.090000,61.630001,60.599998,61.380001,61.380001,436900
2023-11-14,64.029999,66.760002,63.759998,66.040001,66.040001,1013700
2023-11-15,66.019997,68.500000,66.019997,66.419998,66.419998,1024000
2023-11-16,66.440002,66.830002,65.839996,66.000000,66.000000,516600
2023-11-17,66.599998,67.589996,66.419998,67.559998,67.559998,667100
2023-11-20,67.379997,68.129997,66.779999,67.830002,67.830002,855700
2023-11-21,67.419998,68.099998,67.160004,67.580002,67.580002,638200
2023-11-22,68.099998,68.639999,67.419998,67.580002,67.580002,526000
2023-11-24,67.190002,68.839996,67.010002,68.230003,68.230003,246400
2023-11-27,67.669998,69.790001,67.540001,68.900002,68.900002,796200
2023-11-28,68.529999,69.349998,68.059998,69.050003,69.050003,711200
2023-11-29,70.000000,71.349998,69.910004,70.220001,70.220001,845800
2023-11-30,70.150002,70.540001,69.110001,70.269997,70.269997,886600
2023-12-01,70.209999,72.220001,69.639999,72.070000,72.070000,902100
2023-12-04,71.779999,72.760002,71.220001,72.660004,72.660004,667100
2023-12-05,72.510002,73.089996,71.660004,71.860001,71.860001,492200
2023-12-06,72.720001,74.320000,72.470001,72.580002,72.580002,877200
2023-12-07,72.519997,73.190002,72.279999,72.879997,72.879997,618000
2023-12-08,72.760002,74.250000,72.760002,72.959999,72.959999,457000
2023-12-11,73.050003,73.199997,72.440002,72.529999,72.529999,660800
2023-12-12,72.610001,73.699997,71.989998,72.849998,72.849998,787500
2023-12-13,71.580002,75.720001,71.419998,75.449997,75.449997,889600
2023-12-14,77.400002,80.589996,77.199997,80.139999,80.139999,1303100
2023-12-15,80.070000,81.120003,79.419998,80.220001,80.220001,1798800
2023-12-18,80.650002,81.070000,78.349998,79.010002,79.010002,658200
2023-12-19,79.769997,81.019997,79.489998,80.919998,80.919998,954200
2023-12-20,81.510002,84.680000,81.010002,81.559998,81.559998,1412300
2023-12-21,82.699997,83.349998,82.019997,83.190002,83.190002,764000
2023-12-22,83.480003,83.830002,82.529999,83.320000,83.320000,712200
2023-12-26,83.660004,84.110001,83.209999,83.430000,83.430000,411900
2023-12-27,83.599998,84.360001,83.430000,83.620003,83.620003,590700
2023-12-28,83.570000,84.209999,83.010002,83.720001,83.720001,290600
2023-12-29,83.360001,84.059998,82.779999,82.790001,82.790001,419700
2024-01-02,81.779999,83.080002,80.239998,80.709999,80.709999,721000
2024-01-03,78.889999,79.050003,77.080002,77.160004,77.160004,1087200
2024-01-04,76.320000,77.970001,76.180000,76.400002,76.400002,1023000
2024-01-05,75.839996,77.680000,75.790001,77.370003,77.370003,684700
2024-01-08,77.769997,79.370003,77.500000,79.360001,79.360001,494100
2024-01-09,78.489998,79.620003,78.370003,79.620003,79.620003,388600
2024-01-10,79.919998,81.360001,79.730003,81.339996,81.339996,681600
2024-01-11,81.019997,82.550003,80.430000,82.500000,82.500000,811600
2024-01-12,83.010002,83.639999,81.129997,81.919998,81.919998,423800
2024-01-16,81.269997,81.550003,79.330002,80.870003,80.870003,510600
2024-01-17,79.650002,80.440002,79.040001,79.800003,79.800003,573100
2024-01-18,80.470001,81.290001,79.129997,81.260002,81.260002,639400
2024-01-19,81.379997,82.330002,79.949997,82.300003,82.300003,579500
2024-01-22,83.510002,84.120003,82.629997,83.790001,83.790001,617800
2024-01-23,83.639999,83.705002,80.900002,81.675003,81.675003,459798
