"Date","Price","Open","High","Low","Vol.","Change %"
"12/25/2023","43,641.0","43,026.0","43,880.0","42,784.0","0.84K","1.43%"
"12/24/2023","43,026.0","43,801.0","43,975.0","42,700.0","0.79K","-1.77%"
"12/23/2023","43,801.0","44,038.0","44,068.0","43,342.0","0.66K","-0.54%"
"12/22/2023","44,038.0","43,890.0","44,444.0","43,480.0","0.99K","0.34%"
"12/21/2023","43,890.0","43,662.0","44,250.0","43,363.0","1.17K","0.52%"
"12/20/2023","43,662.0","42,315.0","44,336.0","42,245.0","2.18K","3.18%"
"12/19/2023","42,315.0","42,672.0","43,429.0","41,850.0","0.96K","-0.84%"
"12/18/2023","42,672.0","41,406.0","42,753.0","40,556.0","1.46K","3.06%"
"12/17/2023","41,406.0","42,328.0","42,442.0","41,304.0","1.11K","-2.18%"
"12/16/2023","42,328.0","41,961.0","42,746.0","41,714.0","0.65K","0.87%"
"12/15/2023","41,961.0","43,064.0","43,106.0","41,742.0","1.01K","-2.56%"
"12/14/2023","43,064.0","42,924.0","43,434.0","41,601.0","1.67K","0.33%"
"12/13/2023","42,924.0","41,501.0","43,424.0","40,682.0","1.45K","3.43%"
"12/12/2023","41,501.0","41,287.0","42,113.0","40,733.0","0.90K","0.52%"
"12/11/2023","41,287.0","43,809.0","43,840.0","40,286.0","3.00K","-5.76%"
"12/10/2023","43,809.0","43,749.0","44,065.0","43,625.0","0.94K","0.14%"
"12/09/2023","43,749.0","44,173.0","44,362.0","43,629.0","1.28K","-0.96%"
"12/08/2023","44,173.0","43,290.0","44,699.0","43,101.0","1.96K","2.04%"
"12/07/2023","43,290.0","43,814.0","44,091.0","42,881.0","2.94K","-1.20%"
"12/06/2023","43,814.0","44,112.0","44,285.0","43,444.0","5.13K","-0.68%"
"12/05/2023","44,112.0","41,942.0","44,420.0","41,317.0","5.33K","5.17%"
"12/04/2023","41,942.0","39,940.0","42,335.0","39,940.0","2.95K","5.01%"
"12/03/2023","39,940.0","39,438.0","40,159.0","39,253.0","1.41K","1.27%"
"12/02/2023","39,438.0","38,676.0","39,678.0","38,634.0","2.86K","1.97%"
"12/01/2023","38,676.0","37,723.0","38,936.0","37,626.0","2.69K","2.53%"
"11/30/2023","37,723.0","37,834.0","38,136.0","37,490.0","0.73K","-0.29%"
"11/29/2023","37,834.0","37,815.0","38,366.0","37,599.0","1.19K","0.05%"
"11/28/2023","37,815.0","37,263.0","38,349.0","36,895.0","1.79K","1.48%"
"11/27/2023","37,263.0","37,443.0","37,547.0","36,735.0","1.74K","-0.48%"
"11/26/2023","37,443.0","37,782.0","37,798.0","37,120.0","1.84K","-0.90%"
"11/25/2023","37,782.0","37,704.0","37,891.0","37,583.0","1.13K","0.21%"
"11/24/2023","37,704.0","37,280.0","38,410.0","37,248.0","3.64K","1.14%"
"11/23/2023","37,280.0","37,407.0","37,645.0","36,898.0","1.30K","-0.34%"
"11/22/2023","37,407.0","35,794.0","37,870.0","35,663.0","2.09K","4.51%"
"11/21/2023","35,794.0","37,451.0","37,638.0","35,791.0","2.68K","-4.42%"
"11/20/2023","37,451.0","37,368.0","37,731.0","36,824.0","1.65K","0.22%"
"11/19/2023","37,368.0","36,581.0","37,509.0","36,410.0","0.52K","2.15%"
"11/18/2023","36,581.0","36,631.0","36,849.0","36,234.0","0.34K","-0.14%"
"11/17/2023","36,631.0","36,161.0","36,730.0","35,886.0","0.88K","1.30%"
"11/16/2023","36,161.0","37,865.0","37,927.0","35,535.0","0.96K","-4.50%"
"11/15/2023","37,865.0","35,542.0","37,949.0","35,374.0","1.99K","6.54%"
"11/14/2023","35,542.0","36,511.0","36,756.0","34,860.0","2.05K","-2.65%"
"11/13/2023","36,511.0","37,042.0","37,410.0","36,390.0","1.23K","-1.43%"
"11/12/2023","37,042.0","37,141.0","37,215.0","36,760.0","0.45K","-0.27%"
"11/11/2023","37,141.0","37,301.0","37,405.0","36,720.0","1.22K","-0.43%"
"11/10/2023","37,301.0","36,699.0","37,500.0","36,369.0","0.95K","1.64%"
"11/09/2023","36,699.0","35,641.0","37,973.0","35,562.0","3.97K","2.97%"
"11/08/2023","35,641.0","35,455.0","36,065.0","35,111.0","0.70K","0.52%"
"11/07/2023","35,455.0","35,053.0","35,930.0","34,578.0","0.97K","1.15%"
"11/06/2023","35,053.0","35,064.0","35,323.0","34,798.0","0.37K","-0.03%"
"11/05/2023","35,064.0","35,100.0","35,399.0","34,532.0","0.61K","-0.10%"
"11/04/2023","35,100.0","34,751.0","35,296.0","34,647.0","0.72K","1.00%"
"11/03/2023","34,751.0","34,944.0","34,954.0","34,154.0","1.51K","-0.55%"
"11/02/2023","34,944.0","35,447.0","35,953.0","34,335.0","2.19K","-1.42%"
"11/01/2023","35,447.0","34,669.0","35,561.0","34,114.0","1.99K","2.24%"
"10/31/2023","34,669.0","34,490.0","34,730.0","34,111.0","1.39K","0.52%"
"10/30/2023","34,490.0","34,552.0","34,876.0","34,117.0","1.36K","-0.18%"
"10/29/2023","34,551.0","34,104.0","34,783.0","33,969.0","1.50K","1.31%"
"10/28/2023","34,104.0","33,942.0","34,494.0","33,906.0","0.75K","0.48%"
"10/27/2023","33,942.0","34,184.0","34,268.0","33,430.0","1.12K","-0.71%"
"10/26/2023","34,184.0","34,504.0","34,843.0","33,770.0","1.01K","-0.93%"
"10/25/2023","34,504.0","33,943.0","35,147.0","33,756.0","2.24K","1.65%"
"10/24/2023","33,943.0","33,069.0","35,175.0","32,852.0","5.30K","2.64%"
"10/23/2023","33,069.0","30,023.0","33,525.0","29,923.0","6.76K","10.15%"
"10/22/2023","30,023.0","29,922.0","30,225.0","29,704.0","0.50K","0.34%"
"10/21/2023","29,922.0","29,689.0","30,343.0","29,478.0","0.79K","0.78%"
"10/20/2023","29,689.0","28,745.0","30,232.0","28,619.0","3.15K","3.28%"
"10/19/2023","28,745.0","28,332.0","28,904.0","28,155.0","1.56K","1.46%"
"10/18/2023","28,332.0","28,410.0","28,978.0","28,171.0","1.02K","-0.27%"
"10/17/2023","28,410.0","28,524.0","28,624.0","28,109.0","0.83K","-0.40%"
"10/16/2023","28,524.0","27,168.0","30,067.0","27,129.0","4.31K","4.99%"
"10/15/2023","27,168.0","26,871.0","27,297.0","26,832.0","0.47K","1.11%"
"10/14/2023","26,871.0","26,875.0","26,995.0","26,830.0","0.36K","-0.01%"
"10/13/2023","26,875.0","26,795.0","27,140.0","26,700.0","0.85K","0.30%"
"10/12/2023","26,795.0","26,894.0","26,964.0","26,580.0","1.44K","-0.37%"
"10/11/2023","26,894.0","27,414.0","27,492.0","26,562.0","1.98K","-1.90%"
"10/10/2023","27,414.0","27,617.0","27,752.0","27,325.0","1.27K","-0.74%"
"10/09/2023","27,617.0","27,929.0","27,987.0","27,331.0","3.07K","-1.12%"
"10/08/2023","27,929.0","27,967.0","28,093.0","27,710.0","0.30K","-0.14%"
"10/07/2023","27,967.0","27,942.0","28,026.0","27,840.0","0.45K","0.09%"
"10/06/2023","27,942.0","27,418.0","28,268.0","27,200.0","1.62K","1.91%"
"10/05/2023","27,418.0","27,805.0","28,118.0","27,370.0","1.44K","-1.39%"
"10/04/2023","27,805.0","27,431.0","27,845.0","27,249.0","0.89K","1.36%"
"10/03/2023","27,431.0","27,526.0","27,700.0","27,211.0","0.77K","-0.35%"
"10/02/2023","27,526.0","28,008.0","28,566.0","27,345.0","2.08K","-1.72%"
"10/01/2023","28,008.0","26,980.0","28,100.0","26,973.0","1.83K","3.81%"
"09/30/2023","26,980.0","26,929.0","27,109.0","26,909.0","0.33K","0.19%"
"09/29/2023","26,929.0","27,046.0","27,263.0","26,745.0","1.06K","-0.43%"
"09/28/2023","27,046.0","26,391.0","27,300.0","26,368.0","1.07K","2.48%"
"09/27/2023","26,391.0","26,244.0","26,872.0","26,147.0","1.91K","0.56%"
"09/26/2023","26,244.0","26,330.0","26,410.0","26,129.0","0.90K","-0.33%"
"09/25/2023","26,330.0","26,299.0","26,465.0","26,045.0","1.17K","0.12%"
"09/24/2023","26,299.0","26,609.0","26,768.0","26,211.0","2.03K","-1.17%"
"09/23/2023","26,609.0","26,606.0","26,662.0","26,555.0","0.88K","0.01%"
"09/22/2023","26,606.0","26,594.0","26,749.0","26,532.0","2.04K","0.05%"
"09/21/2023","26,594.0","27,149.0","27,167.0","26,416.0","1.53K","-2.04%"
"09/20/2023","27,149.0","27,244.0","27,414.0","26,847.0","1.44K","-0.35%"
"09/19/2023","27,244.0","26,788.0","27,506.0","26,700.0","1.60K","1.70%"
"09/18/2023","26,788.0","26,547.0","27,452.0","26,444.0","2.87K","0.91%"
"09/17/2023","26,547.0","26,576.0","26,632.0","26,444.0","0.33K","-0.11%"
"09/16/2023","26,576.0","26,625.0","26,792.0","26,477.0","0.32K","-0.18%"
"09/15/2023","26,625.0","26,544.0","26,862.0","26,255.0","0.90K","0.31%"
"09/14/2023","26,544.0","26,238.0","26,832.0","26,151.0","2.56K","1.17%"
"09/13/2023","26,238.0","25,851.0","26,430.0","25,797.0","0.87K","1.50%"
"09/12/2023","25,851.0","25,183.0","26,566.0","25,152.0","2.49K","2.65%"
"09/11/2023","25,183.0","25,860.0","25,904.0","24,927.0","1.24K","-2.62%"
"09/10/2023","25,860.0","25,910.0","26,009.0","25,638.0","0.50K","-0.19%"
"09/09/2023","25,910.0","25,918.0","25,948.0","25,823.0","0.27K","-0.03%"
"09/08/2023","25,918.0","26,264.0","26,435.0","25,692.0","0.86K","-1.32%"
"09/07/2023","26,264.0","25,783.0","26,444.0","25,645.0","1.21K","1.87%"
"09/06/2023","25,783.0","25,793.0","26,023.0","25,453.0","1.14K","-0.04%"
"09/05/2023","25,793.0","25,823.0","25,886.0","25,602.0","1.02K","-0.12%"
"09/04/2023","25,823.0","25,980.0","26,092.0","25,666.0","0.72K","-0.60%"
"09/03/2023","25,980.0","25,870.0","26,114.0","25,826.0","0.45K","0.43%"
"09/02/2023","25,870.0","25,816.0","25,995.0","25,763.0","1.17K","0.21%"
"09/01/2023","25,816.0","25,967.0","26,164.0","25,354.0","2.05K","-0.58%"
"08/31/2023","25,967.0","27,325.0","27,550.0","25,750.0","3.63K","-4.97%"
"08/30/2023","27,325.0","27,752.0","27,789.0","27,085.0","1.29K","-1.54%"
"08/29/2023","27,752.0","26,147.0","28,097.0","25,954.0","2.68K","6.14%"
"08/28/2023","26,147.0","26,121.0","26,264.0","25,900.0","0.69K","0.10%"
"08/27/2023","26,121.0","26,045.0","26,198.0","25,997.0","0.13K","0.29%"
"08/26/2023","26,045.0","26,079.0","26,142.0","26,019.0","0.21K","-0.13%"
"08/25/2023","26,079.0","26,199.0","26,314.0","25,825.0","1.27K","-0.46%"
"08/24/2023","26,199.0","26,461.0","26,598.0","25,962.0","0.83K","-0.99%"
"08/23/2023","26,461.0","26,057.0","26,834.0","25,840.0","1.19K","1.55%"
"08/22/2023","26,057.0","26,144.0","26,156.0","25,490.0","1.07K","-0.33%"
"08/21/2023","26,144.0","26,215.0","26,255.0","25,850.0","0.90K","-0.27%"
"08/20/2023","26,215.0","26,115.0","26,305.0","26,018.0","0.60K","0.38%"
"08/19/2023","26,115.0","26,066.0","26,279.0","25,812.0","0.33K","0.19%"
"08/18/2023","26,066.0","26,661.0","26,823.0","25,699.0","2.04K","-2.23%"
"08/17/2023","26,661.0","28,730.0","28,778.0","24,863.0","4.96K","-7.20%"
"08/16/2023","28,730.0","29,200.0","29,255.0","28,728.0","1.07K","-1.61%"
"08/15/2023","29,200.0","29,445.0","29,499.0","29,109.0","0.49K","-0.83%"
"08/14/2023","29,445.0","29,314.0","29,689.0","29,103.0","0.79K","0.45%"
"08/13/2023","29,314.0","29,445.0","29,477.0","29,297.0","0.27K","-0.44%"
"08/12/2023","29,445.0","29,434.0","29,495.0","29,393.0","0.20K","0.04%"
"08/11/2023","29,434.0","29,458.0","29,549.0","29,258.0","1.10K","-0.08%"
"08/10/2023","29,458.0","29,597.0","29,745.0","29,384.0","1.44K","-0.47%"
"08/09/2023","29,597.0","29,796.0","30,163.0","29,393.0","1.22K","-0.67%"
"08/08/2023","29,796.0","29,223.0","30,235.0","29,165.0","1.36K","1.96%"
"08/07/2023","29,223.0","29,095.0","29,289.0","28,722.0","1.03K","0.44%"
"08/06/2023","29,095.0","29,075.0","29,198.0","29,007.0","0.39K","0.07%"
"08/05/2023","29,075.0","29,119.0","29,153.0","28,993.0","0.41K","-0.15%"
"08/04/2023","29,119.0","29,206.0","29,335.0","28,863.0","0.59K","-0.30%"
"08/03/2023","29,206.0","29,197.0","29,438.0","28,995.0","0.62K","0.03%"
"08/02/2023","29,197.0","29,746.0","30,056.0","28,975.0","1.18K","-1.85%"
"08/01/2023","29,746.0","29,273.0","29,746.0","28,663.0","1.64K","1.62%"
"07/31/2023","29,273.0","29,315.0","29,560.0","29,164.0","0.45K","-0.14%"
"07/30/2023","29,315.0","29,402.0","29,488.0","29,111.0","0.49K","-0.30%"
"07/29/2023","29,402.0","29,365.0","29,443.0","29,305.0","0.15K","0.13%"
"07/28/2023","29,365.0","29,256.0","29,578.0","29,169.0","0.32K","0.37%"
"07/27/2023","29,256.0","29,390.0","29,601.0","29,123.0","0.61K","-0.46%"
"07/26/2023","29,390.0","29,272.0","29,720.0","29,150.0","0.75K","0.40%"
"07/25/2023","29,272.0","29,224.0","29,404.0","29,101.0","0.37K","0.16%"
"07/24/2023","29,224.0","30,122.0","30,125.0","28,931.0","1.62K","-2.98%"
"07/23/2023","30,122.0","29,811.0","30,370.0","29,777.0","0.50K","1.04%"
"07/22/2023","29,811.0","29,942.0","30,035.0","29,673.0","0.19K","-0.44%"
"07/21/2023","29,942.0","29,839.0","30,091.0","29,770.0","1.12K","0.35%"
"07/20/2023","29,839.0","29,939.0","30,438.0","29,625.0","1.31K","-0.33%"
"07/19/2023","29,939.0","29,888.0","30,220.0","29,829.0","0.50K","0.17%"
"07/18/2023","29,888.0","30,172.0","30,269.0","29,618.0","1.28K","-0.94%"
"07/17/2023","30,172.0","30,260.0","30,353.0","29,701.0","1.33K","-0.29%"
"07/16/2023","30,260.0","30,310.0","30,469.0","30,108.0","0.53K","-0.16%"
"07/15/2023","30,310.0","30,343.0","30,419.0","30,283.0","0.38K","-0.11%"
"07/14/2023","30,343.0","31,500.0","31,657.0","29,969.0","2.41K","-3.67%"
"07/13/2023","31,500.0","30,428.0","31,814.0","30,307.0","2.91K","3.52%"
"07/12/2023","30,428.0","30,654.0","30,998.0","30,260.0","1.07K","-0.74%"
"07/11/2023","30,654.0","30,445.0","30,822.0","30,359.0","0.71K","0.69%"
"07/10/2023","30,445.0","30,188.0","31,044.0","29,988.0","1.28K","0.85%"
"07/09/2023","30,188.0","30,318.0","30,459.0","30,081.0","0.78K","-0.43%"
"07/08/2023","30,318.0","30,370.0","30,406.0","30,086.0","0.46K","-0.17%"
"07/07/2023","30,370.0","29,942.0","30,469.0","29,779.0","1.19K","1.43%"
"07/06/2023","29,942.0","30,532.0","31,530.0","29,901.0","2.31K","-1.93%"
"07/05/2023","30,532.0","30,782.0","30,897.0","30,239.0","1.25K","-0.81%"
"07/04/2023","30,782.0","31,176.0","31,345.0","30,656.0","1.67K","-1.26%"
"07/03/2023","31,176.0","30,663.0","31,416.0","30,607.0","1.36K","1.67%"
"07/02/2023","30,663.0","30,607.0","30,817.0","30,200.0","0.70K","0.18%"
"07/01/2023","30,607.0","30,500.0","30,689.0","30,356.0","0.95K","0.35%"
"06/30/2023","30,500.0","30,471.0","31,299.0","29,617.0","3.22K","0.10%"
"06/29/2023","30,471.0","30,094.0","30,844.0","30,062.0","0.98K","1.25%"
"06/28/2023","30,094.0","30,711.0","30,731.0","29,900.0","1.21K","-2.01%"
"06/27/2023","30,711.0","30,287.0","31,018.0","30,246.0","1.13K","1.40%"
"06/26/2023","30,287.0","30,485.0","30,672.0","29,981.0","1.03K","-0.65%"
"06/25/2023","30,485.0","30,556.0","31,058.0","30,334.0","0.65K","-0.23%"
"06/24/2023","30,556.0","30,708.0","30,820.0","30,294.0","0.73K","-0.49%"
"06/23/2023","30,708.0","29,920.0","31,415.0","29,838.0","2.29K","2.63%"
"06/22/2023","29,920.0","30,013.0","30,506.0","29,678.0","1.68K","-0.31%"
"06/21/2023","30,013.0","28,325.0","30,769.0","28,286.0","3.14K","5.96%"
"06/20/2023","28,325.0","26,866.0","28,406.0","26,676.0","2.17K","5.43%"
"06/19/2023","26,866.0","26,358.0","27,056.0","26,293.0","0.96K","1.93%"
"06/18/2023","26,358.0","26,535.0","26,712.0","26,293.0","0.53K","-0.67%"
"06/17/2023","26,535.0","26,357.0","26,789.0","26,202.0","0.81K","0.68%"
"06/16/2023","26,357.0","25,611.0","26,506.0","25,244.0","1.02K","2.91%"
"06/15/2023","25,611.0","25,146.0","25,766.0","24,862.0","1.11K","1.85%"
"06/14/2023","25,146.0","25,941.0","26,113.0","24,853.0","1.26K","-3.06%"
"06/13/2023","25,941.0","25,933.0","26,428.0","25,748.0","0.79K","0.03%"
"06/12/2023","25,933.0","25,953.0","26,106.0","25,650.0","0.36K","-0.08%"
"06/11/2023","25,953.0","25,870.0","26,230.0","25,669.0","0.53K","0.32%"
"06/10/2023","25,870.0","26,502.0","26,556.0","25,468.0","1.66K","-2.38%"
"06/09/2023","26,502.0","26,526.0","26,804.0","26,303.0","0.49K","-0.09%"
"06/08/2023","26,526.0","26,365.0","26,811.0","26,248.0","0.70K","0.61%"
"06/07/2023","26,365.0","27,233.0","27,368.0","26,157.0","1.79K","-3.19%"
"06/06/2023","27,233.0","25,730.0","27,342.0","25,392.0","1.69K","5.84%"
"06/05/2023","25,730.0","27,126.0","27,134.0","25,420.0","3.02K","-5.15%"
"06/04/2023","27,126.0","27,077.0","27,446.0","26,963.0","0.46K","0.18%"
"06/03/2023","27,077.0","27,254.0","27,331.0","26,925.0","0.44K","-0.65%"
"06/02/2023","27,254.0","26,833.0","27,301.0","26,523.0","0.79K","1.57%"
"06/01/2023","26,833.0","27,220.0","27,348.0","26,666.0","0.83K","-1.42%"
"05/31/2023","27,220.0","27,723.0","27,855.0","26,859.0","1.34K","-1.81%"
"05/30/2023","27,723.0","27,772.0","28,065.0","27,600.0","0.49K","-0.18%"
"05/29/2023","27,772.0","28,096.0","28,463.0","27,579.0","0.82K","-1.15%"
"05/28/2023","28,096.0","26,885.0","28,263.0","26,804.0","1.60K","4.50%"
"05/27/2023","26,885.0","26,737.0","26,917.0","26,608.0","0.24K","0.55%"
"05/26/2023","26,737.0","26,498.0","26,937.0","26,359.0","0.96K","0.90%"
"05/25/2023","26,498.0","26,344.0","26,620.0","25,889.0","0.64K","0.58%"
"05/24/2023","26,344.0","27,243.0","27,243.0","26,100.0","0.92K","-3.30%"
"05/23/2023","27,243.0","26,869.0","27,481.0","26,829.0","0.59K","1.39%"
"05/22/2023","26,869.0","26,760.0","27,101.0","26,562.0","0.54K","0.41%"
"05/21/2023","26,760.0","27,126.0","27,285.0","26,701.0","0.52K","-1.35%"
"05/20/2023","27,126.0","26,911.0","27,168.0","26,863.0","0.18K","0.80%"
"05/19/2023","26,911.0","26,862.0","27,198.0","26,676.0","0.33K","0.18%"
"05/18/2023","26,862.0","27,425.0","27,504.0","26,443.0","1.59K","-2.05%"
"05/17/2023","27,425.0","27,054.0","27,511.0","26,614.0","1.88K","1.37%"
"05/16/2023","27,054.0","27,190.0","27,313.0","26,899.0","0.80K","-0.50%"
"05/15/2023","27,190.0","26,937.0","27,671.0","26,764.0","0.98K","0.94%"
"05/14/2023","26,937.0","26,790.0","27,194.0","26,639.0","0.37K","0.55%"
"05/13/2023","26,790.0","26,818.0","27,065.0","26,713.0","0.35K","-0.10%"
"05/12/2023","26,818.0","27,016.0","27,101.0","25,884.0","1.82K","-0.73%"
"05/11/2023","27,016.0","27,622.0","27,654.0","26,795.0","1.79K","-2.19%"
"05/10/2023","27,622.0","27,668.0","28,338.0","26,855.0","1.70K","-0.17%"
"05/09/2023","27,668.0","27,701.0","27,844.0","27,386.0","0.75K","-0.12%"
"05/08/2023","27,701.0","28,464.0","28,682.0","27,309.0","1.59K","-2.68%"
"05/07/2023","28,464.0","28,909.0","29,175.0","28,464.0","0.64K","-1.54%"
"05/06/2023","28,909.0","29,526.0","29,836.0","28,415.0","1.15K","-2.09%"
"05/05/2023","29,526.0","28,844.0","29,687.0","28,844.0","1.41K","2.36%"
"05/04/2023","28,844.0","29,037.0","29,370.0","28,706.0","0.81K","-0.66%"
"05/03/2023","29,037.0","28,679.0","29,277.0","28,161.0","1.03K","1.25%"
"05/02/2023","28,679.0","28,106.0","28,888.0","27,919.0","1.24K","2.04%"
"05/01/2023","28,106.0","29,255.0","29,347.0","27,700.0","1.80K","-3.93%"
"04/30/2023","29,255.0","29,253.0","29,962.0","29,113.0","1.37K","0.01%"
"04/29/2023","29,253.0","29,338.0","29,454.0","29,085.0","0.35K","-0.29%"
"04/28/2023","29,338.0","29,479.0","29,589.0","28,911.0","1.40K","-0.48%"
"04/27/2023","29,479.0","28,433.0","29,885.0","28,395.0","1.89K","3.68%"
"04/26/2023","28,433.0","28,324.0","30,028.0","27,263.0","3.46K","0.38%"
"04/25/2023","28,324.0","27,522.0","28,389.0","27,224.0","0.98K","2.91%"
"04/24/2023","27,522.0","27,613.0","28,000.0","26,998.0","1.38K","-0.33%"
"04/23/2023","27,613.0","27,826.0","27,827.0","27,364.0","0.69K","-0.77%"
"04/22/2023","27,826.0","27,287.0","27,884.0","27,163.0","0.71K","1.98%"
"04/21/2023","27,287.0","28,248.0","28,378.0","27,191.0","1.37K","-3.40%"
"04/20/2023","28,248.0","28,826.0","29,098.0","28,035.0","1.55K","-2.01%"
"04/19/2023","28,826.0","30,392.0","30,412.0","28,645.0","3.76K","-5.15%"
"04/18/2023","30,392.0","29,434.0","30,471.0","29,169.0","1.93K","3.25%"
"04/17/2023","29,434.0","30,285.0","30,289.0","29,277.0","2.04K","-2.81%"
"04/16/2023","30,285.0","30,280.0","30,559.0","30,123.0","1.84K","0.02%"
"04/15/2023","30,280.0","30,462.0","30,575.0","30,195.0","0.80K","-0.60%"
"04/14/2023","30,462.0","30,389.0","30,968.0","30,001.0","2.59K","0.24%"
"04/13/2023","30,389.0","29,876.0","30,563.0","29,867.0","1.43K","1.72%"
"04/12/2023","29,876.0","30,190.0","30,450.0","29,683.0","1.69K","-1.04%"
"04/11/2023","30,190.0","29,614.0","30,484.0","29,579.0","2.75K","1.95%"
"04/10/2023","29,614.0","28,320.0","29,724.0","28,159.0","2.24K","4.57%"
"04/09/2023","28,320.0","27,901.0","28,510.0","27,780.0","0.68K","1.50%"
"04/08/2023","27,901.0","27,889.0","28,135.0","27,839.0","0.40K","0.04%"
"04/07/2023","27,889.0","28,018.0","28,082.0","27,755.0","0.33K","-0.46%"
"04/06/2023","28,018.0","28,153.0","28,163.0","27,728.0","0.88K","-0.48%"
"04/05/2023","28,153.0","28,153.0","28,750.0","27,837.0","1.52K","0.00%"
"04/04/2023","28,153.0","27,790.0","28,445.0","27,671.0","1.08K","1.31%"
"04/03/2023","27,790.0","28,173.0","28,482.0","27,231.0","2.64K","-1.36%"
"04/02/2023","28,173.0","28,443.0","28,515.0","27,867.0","1.00K","-0.95%"
"04/01/2023","28,443.0","28,460.0","28,809.0","28,210.0","0.86K","-0.06%"
"03/31/2023","28,460.0","28,017.0","28,651.0","27,556.0","1.32K","1.58%"
"03/30/2023","28,017.0","28,344.0","29,170.0","27,692.0","2.68K","-1.15%"
"03/29/2023","28,344.0","27,265.0","28,645.0","27,253.0","2.12K","3.96%"
"03/28/2023","27,265.0","27,129.0","27,512.0","26,637.0","1.44K","0.50%"
"03/27/2023","27,129.0","27,986.0","28,027.0","26,542.0","1.94K","-3.06%"
"03/26/2023","27,986.0","27,482.0","28,171.0","27,438.0","1.17K","1.83%"
